------------------------------------------
Script start.sh iniciado en: mar 05 ago 2025 21:06:43 CEST
------------------------------------------
Paso 1: Pausa inicial de 15 segundos...
Pausa completada.
Paso 2: Navegando al directorio del script...
Directorio actual: /home/pizero/estacion_meteo
Paso 3: Exportando la variable de entorno DISPLAY...
DISPLAY establecido a: :0
Paso 4: Intentando lanzar main.py con el Python del sistema...
Ruta de Python 3: /usr/bin/python3
2025-08-11 19:10:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:10:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 4
2025-08-11 19:10:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:10:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:10:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:10:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:10:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:10:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:10:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:10:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:10:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:10:59 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:11:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 5
2025-08-11 19:11:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:11:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:11:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:11:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:11:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:11:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:11:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:11:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:11:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:12:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:12:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 6
2025-08-11 19:12:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:12:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:12:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:12:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:12:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:12:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:12:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:12:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:12:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:12:58 - root - INFO - Timeout de 300s. Apagando pantalla.
2025-08-11 19:13:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:13:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 7
2025-08-11 19:13:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:13:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:13:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:13:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:13:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:13:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:13:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:13:02 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:13:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:14:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:14:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 8
2025-08-11 19:14:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:14:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:14:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:14:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:14:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:14:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:14:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:14:02 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:14:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:15:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:15:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 9
2025-08-11 19:15:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:15:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:15:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:15:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:15:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:15:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:15:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:15:02 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:15:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:16:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:16:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 10
2025-08-11 19:16:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:16:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:16:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:16:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:16:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:16:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:16:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:16:02 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:16:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:17:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:17:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 11
2025-08-11 19:17:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:17:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:17:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:17:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:17:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:17:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:17:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:17:02 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:17:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:18:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:18:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 12
2025-08-11 19:18:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:18:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:18:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:18:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:18:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:18:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:18:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:18:02 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:18:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:19:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:19:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 13
